Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,CHU90M,3.330000,,0.000000,,88.5,88.5,023,NN,AM,5.00,,3 kW,,,,
2,CHU38M,7.850000,,0.000000,,88.5,88.5,023,NN,AM,5.00,,10 kW,,,,
3,CHU20M,14.670000,,0.000000,,88.5,88.5,023,NN,AM,5.00,,3 kW,,,,
4,WWVBLF,0.600000,,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
5,WWV120M,2.500000,,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
6,WWV60M,5.000000,,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
7,WWV30M,10.000000,,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
8,WWV20M,15.000000,,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
9,WWV15M,20.000000,,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
